Date,Particulars,Vch Type,Vch No.,Debit Amount,Credit Amount
,,,,,
01-04-2025,Wages Expenses A/C,Payment,1,7500,
,Cash,,,,7500.00 Cr
01-04-2025,Convence Expensece,Payment,2,2200,
,Cash,,,,2200.00 Cr
01-04-2025,Shri Shyam Baat Bhandar (Bad Ke Bala Ji ),Receipt,1,,18148
,HDFC Bank,,,18148.00 Dr,
01-04-2025,Shri Chand Pasu Aahar Malpura,Sales,2364/25/26,83170,
,Sales Account,,,,83170.00 Cr
01-04-2025,Patel Enterprises  Rojda,Sales,2351/25/26,61900,
,Sales Account,,,,61900.00 Cr
01-04-2025,SHRI BALAJI ENTERPRISES-TIGARIYA,Sales,2352/25/26,66720,
,Sales Account,,,,66720.00 Cr
01-04-2025,Dugya Cattle Feed - Muhana,Sales,2353/25/26,44120,
,Sales Account,,,,44120.00 Cr
01-04-2025,Dugya Cattle Feed - Muhana,Sales,2354/25/26,27000,
,Sales Account,,,,27000.00 Cr
01-04-2025,Godha Enterprises (Hingoniya),Sales,2355/25/26,86825,
,Sales Account,,,,86825.00 Cr
01-04-2025,Kharwash Trading Company (Muhana ),Sales,2358/25/26,57810,
,Sales Account,,,,57810.00 Cr
01-04-2025,Mahesh Trading Company Renwal,Sales,2359/25/26,75395,
,Sales Account,,,,75395.00 Cr
01-04-2025,(cancelled),Sales,2360/25/26,,
01-04-2025,Love General Stor    Tunga,Sales,2361/25/26,58400,
,Sales Account,,,,58400.00 Cr
01-04-2025,G.K.N - Industries,Sales,2362/25/26,47992,
,Sales Account,,,,47992.00 Cr
01-04-2025,Satyenarayan Kunj Bihari  Ude,Sales,2363/25/26,37125,
,Sales Account,,,,37125.00 Cr
01-04-2025,Jain & Brothers - Muhana Mandi,Sales,2365/25/26,62215,
,Sales Account,,,,62215.00 Cr
01-04-2025,Choudhary Pashu Aahar  Parbatsar,Sales,2366/25/26,67000,
,Sales Account,,,,67000.00 Cr
01-04-2025,Pashupati Trading Company,Sales,2367/25/26,33380,
,Sales Account,,,,33380.00 Cr
01-04-2025,Kharwash Trading Company (Muhana ),Sales,2368/25/26,54564,
,Sales Account,,,,54564.00 Cr
01-04-2025,G.K.N - Industries,Sales,2369/25/26,42900,
,Sales Account,,,,42900.00 Cr
01-04-2025,Kharwash Trading Company (Muhana ),Sales,2370/25/26,57810,
,Sales Account,,,,57810.00 Cr
01-04-2025,Goyal Treders Fhagi,Sales,2371/25/26,84647,
,Sales Account,,,,84647.00 Cr
01-04-2025,Haritwal Pashu Ahar Vatika,Sales,2372/25/26,72870,
,Sales Account,,,,72870.00 Cr
01-04-2025,Kharwash Trading Company (Muhana ),Sales,2374/25/26,66764,
,Sales Account,,,,66764.00 Cr
01-04-2025,Ganesh Pashuahar Chaksu,Sales,2375/25/26,117150,
,Sales Account,,,,117150.00 Cr
01-04-2025,Rakesh Kirana Store - Khejroli,Sales,2376/25/26,18080,
,Sales Account,,,,18080.00 Cr
01-04-2025,Shri Shyam Baat Bhandar (Bad Ke Bala Ji ),Sales,2377/25/26,17535,
,Sales Account,,,,17535.00 Cr
01-04-2025,Ishwar and Company Surajpool,Sales,2378/25/26,101920,
,Sales Account,,,,101920.00 Cr
01-04-2025,Ankit Trading Company Fulera,Sales,2379/25/26,12694,
,Sales Account,,,,12694.00 Cr
01-04-2025,Prakash Enterprises - Phulera,Sales,2380/25/26,82400,
,Sales Account,,,,82400.00 Cr
01-04-2025,Shri Shyam Baat Bhandar (Bad Ke Bala Ji ),Sales,2383/25/26,18148,
,Sales Account,,,,18148.00 Cr
01-04-2025,Babulal Ji Yadav - Mahaswas,Sales,2384/25-26,83250,
,Sales Account,,,,83250.00 Cr
01-04-2025,Ankit Trading Company Fulera,Sales,2385/25-26,49708,
,Sales Account,,,,49708.00 Cr
01-04-2025,JAGMOHAN  SATISH KUMAR  MAHUWA,Sales,2386/25-26,100807,
,Sales Account,,,,100807.00 Cr
01-04-2025,G.K.N - Industries,Sales,2387/25-26,43615,
,Sales Account,,,,43615.00 Cr
01-04-2025,Vinayak Brothers - Renwal,Sales,2356/25/26,94300,
,Sales Account,,,,94300.00 Cr
02-04-2025,Tour & Travel,Payment,3,4240,
,Cash,,,,4240.00 Cr
02-04-2025,Wages Expenses A/C,Payment,4,4950,
,Cash,,,,4950.00 Cr
02-04-2025,Anjani Trading Company  -(Beawar),Receipt,2,,214924
,HDFC Bank,,,214924.00 Dr,
02-04-2025,(cancelled),Receipt,3,,
02-04-2025,PRABHA MAHILA KISSAN PRODUSER KHANDER,Receipt,4,,20000
,HDFC Bank,,,20000.00 Dr,
02-04-2025,SHRI BALAJI ENTERPRISES-TIGARIYA,Sales,2388/25-26,66970,
,Sales Account,,,,66970.00 Cr
02-04-2025,Kedar Kirana Stor Benadamod,Sales,2389/25-26,46000,
,Sales Account,,,,46000.00 Cr
02-04-2025,Shri Chand Pasu Aahar Malpura,Sales,2381/25/26,71040,
,Sales Account,,,,71040.00 Cr
03-04-2025,Wages Expenses A/C,Payment,5,6950,
,Cash,,,,6950.00 Cr
03-04-2025,Machinery Reparing,Payment,6,2450,
,Cash,,,,2450.00 Cr
03-04-2025,Machinery Reparing,Payment,7,20650,
,Punjab National Bank - New,,,,20650.00 Cr
03-04-2025,Nakoda Trading Company  Nimbaheda,Receipt,5,,13500
,HDFC Bank,,,13500.00 Dr,
03-04-2025,Ishwar and Company Surajpool,Receipt,6,,101920
,HDFC Bank,,,101920.00 Dr,
03-04-2025,Ratan Lal and Company     Khejroli,Receipt,7,,61600
,HDFC Bank,,,61600.00 Dr,
03-04-2025,Ramnarayan  Girraj Jaipur,Receipt,8,,9000
,Cash,,,9000.00 Dr,
03-04-2025,Ishwar and Company Surajpool,Sales,2390/25-26,90160,
,Sales Account,,,,90160.00 Cr
03-04-2025,Shyam Baat Bhandar - Kanwarpura,Sales,2391/25-26,63500,
,Sales Account,,,,63500.00 Cr
03-04-2025,Nakoda Trading Company  Nimbaheda,Sales,2392/25-26,13500,
,Sales Account,,,,13500.00 Cr
03-04-2025,Kharwash Trading Company (Muhana ),Sales,2394/2025-26,57810,
,Sales Account,,,,57810.00 Cr
03-04-2025,Jai Jagdamba Treding Company Nangal Bhirda,Sales,2395/25-26,67089,
,Sales Account,,,,67089.00 Cr
03-04-2025,"Kailash Chand Deen Dayal - Kasera, Shreemodhopur",Sales,2396/25-26,44925,
,Sales Account,,,,44925.00 Cr
03-04-2025,R S Oil Mils,Purchase,1,,54775
,Purchase Account,,,54775.00 Dr,
03-04-2025,S M Sales Corporation  Jaipur,Purchase,2,,22166
,Purchase Account,,,22166.00 Dr,
04-04-2025,Machinery Reparing,Payment,8,1330,
,Cash,,,,1330.00 Cr
